Timestamp,SensorData
130977375,8363,1.35,0.66,9.66

130977375,5
130977375,8376,1.44,0.70,10.01

130977390,5
130977390,8389,1.23,0.28,10.56

130977406,5
130977406,8402,0.89,1.07,8.57

130977421,5
130977421,8415,1.60,0.52,7.72

130977437,5
130977437,8428,1.54,0.51,9.32

130977437,5
130977437,8441,1.39,0.45,9.32

130977453,5
130977453,8454,1.40,0.48,9.30

130977468,5
130977468,8467,1.40,0.52,9.32

130977484,5
130977484,8480,1.37,0.49,9.36

130977500,5
130977500,8493,1.39,0.48,9.37

130977515,5
130977515,8506,1.36,0.45,9.40

130977515,5
130977515,8519,1.37,0.48,9.40

130977531,5
130977531,8532,1.35,0.48,9.37

130977546,5
130977546,8545,1.38,0.48,9.36

130977562,5
130977562,8558,1.40,0.48,9.33

130977578,5
130977578,8571,1.39,0.49,9.29

130977593,5
130977593,8584,-1.09,-1.42,-3.28

130977593,5
130977593,8597,2.13,1.46,11.82

130977609,5
130977609,8610,1.31,0.76,10.08

130977625,5
130977625,8623,1.28,0.82,9.88

130977640,5
130977640,8636,1.34,0.65,9.45

130977656,5
130977656,8649,1.34,0.67,9.51

130977671,5
130977671,8662,1.36,0.68,9.63

130977671,5
130977671,8675,1.38,0.62,10.00

130977687,5
130977687,8688,1.25,0.36,10.43

130977703,5
130977703,8701,1.51,1.58,9.33

130977718,5
130977718,8714,1.25,0.24,7.43

130977734,5
130977734,8727,1.47,0.48,9.25

130977750,5
130977750,8740,1.41,0.52,9.21

130977750,5
130977750,8753,1.42,0.51,9.26

130977765,5
130977765,8766,1.40,0.49,9.28

130977781,5
130977781,8779,1.39,0.50,9.34

130977796,5
130977796,8792,1.36,0.48,9.37

130977812,5
130977812,8805,1.34,0.49,9.42

130977828,5
130977828,8818,1.36,0.48,9.41

130977843,5
130977843,8831,1.36,0.48,9.39

130977843,5
130977843,8844,1.39,0.49,9.36

130977859,5
130977859,8857,1.37,0.49,9.34

130977875,5
130977875,8870,1.42,0.51,9.32

130977890,5
130977890,8883,1.41,0.51,9.30

130977906,5
130977906,8896,1.42,0.49,9.30

130977906,5
130977906,8909,0.10,-2.69,11.48

130977921,5
130977921,8922,1.57,1.34,11.51

130977937,5
130977937,8935,1.33,0.72,10.25

130977953,5
130977953,8948,1.27,0.73,9.64

130977968,5
130977968,8961,1.41,0.71,9.42

130977984,5
130977984,8974,1.33,0.67,9.47

130977984,5
130977984,8987,1.40,0.76,9.63

130978000,5
130978000,9000,1.43,0.81,9.89

130978015,5
130978015,9013,1.44,0.71,10.29

130978031,5
130978031,9026,0.74,-0.31,9.63

130978046,5
130978046,9039,1.53,0.69,7.64

130978062,5
130978062,9052,1.60,0.62,8.85

