acceleration.x,acceleration.y,acceleration.z,gesture
0.77,0.35,9.36,gesture_3
0.38,3.7,0.18,gesture_3
0.78,0.19,9.55,gesture_3
0.78,0.38,9.34,gesture_3
0.82,0.35,9.31,gesture_3
0.76,0.36,9.42,gesture_3
0.81,0.31,9.26,gesture_3
0.8,0.34,9.36,gesture_3
0.78,0.39,9.34,gesture_3
0.82,0.68,8.79,gesture_3
0.78,0.33,9.3,gesture_3
0.22,3.59,0.64,gesture_3
0.72,-0.05,9.56,gesture_3
0.78,0.36,9.32,gesture_3
0.8,0.33,9.31,gesture_3
0.79,0.33,9.43,gesture_3
0.8,0.34,9.3,gesture_3
0.79,0.36,9.33,gesture_3
0.78,0.25,9.76,gesture_3
0.83,0.6,9.05,gesture_3
0.81,0.32,9.33,gesture_3
0.34,-0.05,10.86,gesture_3
0.75,0.23,9.46,gesture_3
0.8,0.36,9.29,gesture_3
0.81,0.36,9.31,gesture_3
0.74,0.32,9.37,gesture_3
0.76,0.39,9.26,gesture_3
0.82,0.36,9.32,gesture_3
0.72,0.29,9.92,gesture_3
0.71,-0.2,9.43,gesture_3
0.81,0.38,9.37,gesture_3
0.8,0.34,9.32,gesture_3
0.71,0.32,9.6,gesture_3
0.83,0.36,9.24,gesture_3
0.83,0.35,9.28,gesture_3
0.74,0.32,9.35,gesture_3
0.9,0.57,9.12,gesture_3
0.82,0.37,9.29,gesture_3
0.72,2.63,4.3,gesture_3
0.69,0.2,9.37,gesture_3
0.79,0.35,9.27,gesture_3
0.83,0.34,9.31,gesture_3
0.74,0.41,9.43,gesture_3
0.89,0.56,9.11,gesture_3
0.8,0.36,9.3,gesture_3
0.97,0.5,9.1,gesture_3
0.74,0.25,9.36,gesture_3
0.8,0.33,9.29,gesture_3
0.78,0.35,9.32,gesture_3
0.81,0.32,9.37,gesture_3
0.79,0.43,9.28,gesture_3
